,Rnk,BIB,Rider,Age,Team,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,KING Ben,22,RadioShack,13:40:01,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
1,2,0,DE CLERCQ Bart,25,Omega Pharma-Lotto,0:020:02,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
2,3,0,VAN WINDEN Dennis,23,Rabobank Cycling Team,0:060:06,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
3,4,0,OSS Daniel,24,Liquigas - Cannondale,0:080:08,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
4,5,0,KANGERT Tanel,24,Pro Team Astana,0:100:10,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
5,6,0,DE GENDT Thomas,24,Vacansoleil - DCM,0:140:14,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
6,7,0,MADRAZO Ángel,23,Movistar Team,0:180:18,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
7,8,0,INTXAUSTI Beñat,25,Movistar Team,0:190:19,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
8,9,0,CLARKE Simon,25,Pro Team Astana,0:200:20,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
9,10,0,PLIUȘCHIN Alexandr,24,Team Katusha,0:210:21,Tour_of_Beijing,GC,09 October 2011,-,0,0 km,32
