,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,-,0,MARTIN Tony,27,Omega Pharma - Quick-Step,100.0,250,17:16:56,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
1,2,2.0,-,0,GAVAZZI Francesco,28,Astana Pro Team,80.0,190,0:400:40,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
2,3,4.0,▲1,0,BOASSON HAGEN Edvald,25,Sky Procycling,70.0,160,0:460:46,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
3,4,3.0,▼1,0,MARTIN Dan,26,Garmin Sharp,60.0,140,0:500:50,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
4,5,5.0,-,0,CAPECCHI Eros,26,Liquigas - Cannondale,50.0,120,0:520:52,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
5,6,6.0,-,0,NOCENTINI Rinaldo,35,AG2R La Mondiale,40.0,110,0:560:56,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
6,7,8.0,▲1,0,MAJKA Rafał,23,Team Saxo Bank - Tinkoff Bank,30.0,100,",,0:56",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
7,8,7.0,▼1,0,MARCZYŃSKI Tomasz,28,Vacansoleil - DCM,20.0,90,",,0:56",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
8,9,9.0,-,0,COSTA Rui,26,Movistar Team,10.0,80,1:001:00,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
9,10,10.0,-,0,WELLENS Tim,21,Lotto Belisol Team,4.0,70,",,1:00",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
10,11,11.0,-,0,VELASCO Iván,32,Euskaltel - Euskadi,,60,",,1:00",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
11,12,12.0,-,0,SÁNCHEZ Samuel,34,Euskaltel - Euskadi,,55,",,1:00",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
12,13,13.0,-,0,KANGERT Tanel,25,Astana Pro Team,,50,",,1:00",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
13,14,14.0,-,0,KRUIJSWIJK Steven,25,Rabobank Cycling Team,,45,",,1:00",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
14,15,15.0,-,0,SLAGTER Tom-Jelte,23,Rabobank Cycling Team,,40,1:051:05,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
15,16,16.0,-,0,FRANK Mathias,25,BMC Racing Team,,36,1:061:06,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
16,17,17.0,-,0,CLARKE Simon,26,Orica GreenEDGE,,32,1:091:09,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
17,18,21.0,▲3,0,HESJEDAL Ryder,31,Garmin Sharp,,28,",,1:09",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
18,19,18.0,▼1,0,MOSER Moreno,21,Liquigas - Cannondale,,24,",,1:09",..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
19,20,20.0,-,0,ZUBELDIA Haimar,35,RadioShack - Nissan,,20,1:361:36,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
20,21,25.0,▲4,0,CUMMINGS Steve,31,BMC Racing Team,,18,2:482:48,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
21,22,24.0,▲2,0,MORI Manuele,32,Lampre - ISD,,16,3:143:14,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
22,23,26.0,▲3,0,BENNATI Daniele,32,RadioShack - Nissan,,14,3:243:24,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
23,24,27.0,▲3,0,BUTLER Chris,24,Champion System Pro Cycling Team,,12,3:313:31,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
24,25,30.0,▲5,0,PATERSKI Maciej,26,Liquigas - Cannondale,,10,3:433:43,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
25,26,32.0,▲6,0,ANTÓN Igor,29,Euskaltel - Euskadi,,9,3:453:45,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
26,27,22.0,▼5,0,GUTIÉRREZ José Iván,33,Movistar Team,,8,3:593:59,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
27,28,35.0,▲7,0,GUSEV Vladimir,30,Team Katusha,,7,4:254:25,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
28,29,28.0,▼1,0,DAVIS Allan Howard,32,Orica GreenEDGE,,6,5:035:03,..,Tour_of_Beijing,GC,13 October 2012,43.599 km/h,0,0 km,31
