,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,34,GILBERT Philippe,32,BMC Racing Team,100.0,250,17:59:57,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
1,2,2,-,61,MARTIN Dan,28,Garmin Sharp,80.0,190,0:030:03,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
2,3,3,-,101,CHAVES Esteban,24,Orica GreenEDGE,70.0,160,0:090:09,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
3,4,4,-,71,COSTA Rui,28,Lampre - Merida,60.0,140,0:110:11,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
4,5,5,-,131,CHERNETSKI Sergei,24,Team Katusha,50.0,120,0:230:23,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
5,6,6,-,121,BARGUIL Warren,22,Team Giant - Shimano,40.0,110,",,0:23",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
6,7,7,-,161,ARREDONDO Julián David,26,Trek Factory Racing,30.0,100,",,0:23",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
7,8,8,-,11,NOCENTINI Rinaldo,37,AG2R La Mondiale,20.0,90,",,0:23",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
8,9,9,-,91,URÁN Rigoberto,27,Omega Pharma - Quick-Step,10.0,80,",,0:23",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
9,10,11,▲1,15,CHEREL Mikaël,28,AG2R La Mondiale,4.0,70,0:260:26,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
10,11,10,▼1,95,SERRY Pieter,25,Omega Pharma - Quick-Step,,60,",,0:26",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
11,12,12,-,147,LÓPEZ David,33,Team Sky,,55,",,0:26",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
12,13,13,-,31,SÁNCHEZ Samuel,36,BMC Racing Team,,50,",,0:26",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
13,14,15,▲1,117,NAULEAU Bryan,26,Team Europcar,,45,0:440:44,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
14,15,16,▲1,23,KRUIJSWIJK Steven,27,Belkin-Pro Cycling Team,,40,0:470:47,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
15,16,17,▲1,66,HESJEDAL Ryder,33,Garmin Sharp,,36,0:480:48,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
16,17,18,▲1,151,SUTHERLAND Rory,32,Tinkoff - Saxo,,32,0:540:54,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
17,18,19,▲1,145,DEIGNAN Philip,31,Team Sky,,28,",,0:54",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
18,19,20,▲1,115,JEANDESBOZ Fabrice,29,Team Europcar,,24,1:001:00,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
19,20,21,▲1,132,GUSEV Vladimir,32,Team Katusha,,20,1:061:06,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
20,21,23,▲2,142,BOASSON HAGEN Edvald,27,Team Sky,,18,1:321:32,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
21,22,22,-,168,ZOIDL Riccardo,26,Trek Factory Racing,,16,1:401:40,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
22,23,24,▲1,81,HANSEN Adam,33,Lotto Belisol,,14,1:461:46,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
23,24,25,▲1,26,MARTENS Paul,30,Belkin-Pro Cycling Team,,12,2:042:04,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
24,25,26,▲1,58,VEIKKANEN Jussi,33,FDJ.fr,,10,2:102:10,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
25,26,27,▲1,111,BERNAUDEAU Giovanni,31,Team Europcar,,9,2:202:20,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
26,27,28,▲1,98,VERONA Carlos,21,Omega Pharma - Quick-Step,,8,",,2:20",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
27,28,29,▲1,127,PREIDLER Georg,24,Team Giant - Shimano,,7,2:452:45,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
28,29,30,▲1,3,HERRADA Jesús,24,Movistar Team,,6,3:043:04,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
29,30,31,▲1,134,KOCHETKOV Pavel,28,Team Katusha,,5,3:133:13,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
30,31,32,▲1,107,WEENING Pieter,33,Orica GreenEDGE,,5,3:293:29,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
31,32,33,▲1,153,BOARO Manuele,27,Tinkoff - Saxo,,5,3:343:34,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
32,33,35,▲2,88,VERVAEKE Louis,21,Lotto Belisol,,5,4:044:04,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
33,34,36,▲2,96,VAKOČ Petr,22,Omega Pharma - Quick-Step,,5,",,4:04",..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
34,35,37,▲2,4,LASTRAS Pablo,38,Movistar Team,,5,4:064:06,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
35,36,34,▼2,51,ROY Jérémy,31,FDJ.fr,,5,4:234:23,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
36,37,40,▲3,123,JANSE VAN RENSBURG Reinardt,25,Team Giant - Shimano,,5,4:314:31,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
37,38,43,▲5,144,CATALDO Dario,29,Team Sky,,5,4:594:59,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
38,39,44,▲5,47,SALERNO Cristiano,29,Cannondale,,5,5:025:02,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
39,40,38,▼2,64,GAIMON Phillip,28,Garmin Sharp,,5,5:325:32,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
40,41,39,▼2,133,IGNATENKO Petr,27,Team Katusha,,5,5:465:46,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
41,42,14,▼28,108,YATES Simon,22,Orica GreenEDGE,,5,6:066:06,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
42,43,45,▲2,105,IMPEY Daryl,29,Orica GreenEDGE,,5,7:257:25,..,Tour_of_Beijing,GC,14 October 2014,40.446 km/h,0,0 km,42
