,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,109.0,+20:53,141,GROENEWEGEN Dylan,26,Team Jumbo-Visma,40.0,35.0,4:16:13,UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
1,2,104.0,+20:22,174,GAVIRIA Fernando,25,UAE-Team Emirates,15.0,20.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
2,3,132.0,+31:38,31,ACKERMANN Pascal,26,BORA - hansgrohe,6.0,12.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
3,4,80.0,+14:16,61,BENNETT Sam,29,Deceuninck - Quick Step,,9.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
4,5,78.0,+14:04,91,EWAN Caleb,25,Lotto Soudal,,7.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
5,6,112.0,+21:55,104,GROVES Kaden,21,Mitchelton-Scott,,5.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
6,7,118.0,+25:31,46,MARECZKO Jakub,25,CCC Team,,3.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
7,8,115.0,+23:45,57,VIVIANI Attilio,23,"Cofidis, Solutions Crédits",,2.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
8,9,133.0,+31:58,81,BARBIER Rudy,27,Israel Start-Up Nation,,1.0,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
9,10,117.0,+25:22,126,WALSCHEID Max,26,NTT Pro Cycling,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
10,11,64.0,+12:38,87,ZABEL Rick,26,Israel Start-Up Nation,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
11,12,60.0,+10:55,71,DÉMARE Arnaud,28,Groupama - FDJ,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
12,13,88.0,+15:56,167,REIJNEN Kiel,33,Trek - Segafredo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
13,14,47.0,+7:30,116,ROJAS José Joaquín,34,Movistar Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
14,15,127.0,+28:00,153,DAINESE Alberto,21,Team Sunweb,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
15,16,70.0,+13:06,65,MØRKØV Michael,34,Deceuninck - Quick Step,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
16,17,102.0,+19:30,194,MARENGO Umberto,27,Vini Zabù - KTM,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
17,18,50.0,+8:25,106,MEZGEC Luka,31,Mitchelton-Scott,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
18,19,67.0,+12:52,77,SINKELDAM Ramon,31,Groupama - FDJ,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
19,20,113.0,+22:54,73,GUARNIERI Jacopo,32,Groupama - FDJ,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
20,21,121.0,+26:08,21,CAVENDISH Mark,34,Bahrain - McLaren,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
21,22,105.0,+20:38,62,ARCHBOLD Shane,31,Deceuninck - Quick Step,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
22,23,7.0,+2:06,151,KELDERMAN Wilco,28,Team Sunweb,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
23,24,25.0,+4:04,6,JAUREGUI Quentin,25,AG2R La Mondiale,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
24,25,54.0,+9:21,122,CAMPENAERTS Victor,28,NTT Pro Cycling,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
25,26,89.0,+16:00,135,KNEES Christian,38,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
26,27,14.0,+2:23,165,EG Niklas,25,Trek - Segafredo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
27,28,3.0,+1:35,11,LUTSENKO Alexey,27,Astana Pro Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
28,29,107.0,+20:47,123,CARBEL Michael,25,NTT Pro Cycling,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
29,30,2.0,+1:07,171,POGAČAR Tadej,21,UAE-Team Emirates,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
30,31,8.0,+2:06,177,ULISSI Diego,30,UAE-Team Emirates,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
31,32,134.0,+31:58,37,SELIG Rüdiger,31,BORA - hansgrohe,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
32,33,1.0,+0:00,101,YATES Adam,27,Mitchelton-Scott,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
33,34,77.0,+13:59,35,MÜHLBERGER Gregor,25,BORA - hansgrohe,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
34,35,53.0,+9:14,4,VENDRAME Andrea,25,AG2R La Mondiale,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
35,36,16.0,+2:48,161,CICCONE Giulio,25,Trek - Segafredo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
36,37,9.0,+2:06,33,KONRAD Patrick,28,BORA - hansgrohe,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
37,38,4.0,+1:40,72,GAUDU David,23,Groupama - FDJ,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
38,39,11.0,+2:12,173,FORMOLO Davide,27,UAE-Team Emirates,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
39,40,74.0,+13:49,136,PUCCIO Salvatore,30,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
40,41,13.0,+2:23,41,ZAKARIN Ilnur,30,CCC Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
41,42,20.0,+3:06,14,IZAGIRRE Gorka,32,Astana Pro Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
42,43,71.0,+13:24,13,FRAILE Omar,29,Astana Pro Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
43,44,83.0,+14:43,137,RODRIGUEZ Carlos,19,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
44,45,52.0,+9:08,102,BAUER Jack,34,Mitchelton-Scott,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
45,46,5.0,+1:40,34,MAJKA Rafał,30,BORA - hansgrohe,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
46,47,114.0,+23:19,175,RICHEZE Maximiliano,36,UAE-Team Emirates,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
47,48,111.0,+21:05,23,BATTAGLIN Enrico,30,Bahrain - McLaren,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
48,49,101.0,+19:29,114,ELOSEGUI Iñigo,21,Movistar Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
49,50,123.0,+26:43,115,TORRES Albert,29,Movistar Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
50,51,15.0,+2:23,42,DE LA PARTE Víctor,33,CCC Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
51,52,19.0,+2:59,15,KUDUS Merhawi,26,Astana Pro Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
52,53,51.0,+8:36,22,ARASHIRO Yukiya,35,Bahrain - McLaren,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
53,54,12.0,+2:12,121,POZZOVIVO Domenico,37,NTT Pro Cycling,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
54,55,43.0,+6:01,7,WARBASSE Larry,29,AG2R La Mondiale,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
55,56,29.0,+4:23,76,ARMIRAIL Bruno,25,Groupama - FDJ,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
56,57,49.0,+7:52,103,GRMAY Tsgabu,28,Mitchelton-Scott,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
57,58,10.0,+2:06,133,DUNBAR Eddie,23,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
58,59,86.0,+15:34,134,GOŁAŚ Michał,35,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
59,60,69.0,+13:01,132,AMADOR Andrey,33,Team INEOS,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
60,61,42.0,+5:39,157,STORK Florian,22,Team Sunweb,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
61,62,130.0,+28:36,166,QUARTERMAN Charlie,21,Trek - Segafredo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
62,63,32.0,+4:34,45,KOCHETKOV Pavel,33,CCC Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
63,64,100.0,+19:18,97,VAN DER SANDE Tosh,29,Lotto Soudal,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
64,65,17.0,+2:48,111,VALVERDE Alejandro,39,Movistar Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
65,66,63.0,+12:08,184,KULIKOV Vladislav,23,Gazprom - RusVelo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
66,67,6.0,+2:05,51,HERRADA Jesús,29,"Cofidis, Solutions Crédits",,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
67,68,35.0,+4:53,3,CHEVRIER Clément,27,AG2R La Mondiale,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
68,69,26.0,+4:04,181,CHERNETSKI Sergei,29,Gazprom - RusVelo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
69,70,75.0,+13:51,127,WYSS Danilo,34,NTT Pro Cycling,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
70,71,33.0,+4:38,1,BIDARD François,27,AG2R La Mondiale,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
71,72,24.0,+4:04,26,POELS Wout,32,Bahrain - McLaren,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
72,73,97.0,+18:20,93,DE BUYST Jasper,26,Lotto Soudal,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
73,74,87.0,+15:52,113,CATALDO Dario,34,Movistar Team,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
74,75,106.0,+20:39,187,BOEV Igor,30,Gazprom - RusVelo,,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
75,76,34.0,+4:44,52,BERHANE Natnael,29,"Cofidis, Solutions Crédits",,,",,0:00",UAE_Tour,4,26 February 2020,40.51 km/h,0,173 km,24
