,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,131,ROGLIČ Primož,29,Team Jumbo-Visma,40.0,35.0,4:15:39,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
1,2,6.0,+1:08,171,DUMOULIN Tom,28,Team Sunweb,15.0,20.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
2,3,3.0,+0:44,94,GAUDU David,22,Groupama - FDJ,6.0,12.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
3,4,7.0,+1:11,195,MARTIN Dan,32,UAE-Team Emirates,,9.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
4,5,2.0,+0:31,1,VALVERDE Alejandro,38,Movistar Team,,7.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
5,6,5.0,+1:04,175,KELDERMAN Wilco,27,Team Sunweb,,5.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
6,7,13.0,+1:56,47,SCHACHMANN Maximilian,25,BORA - hansgrohe,,3.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
7,8,4.0,+0:56,44,BUCHMANN Emanuel,26,BORA - hansgrohe,,2.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
8,9,17.0,+2:30,193,COSTA Rui,32,UAE-Team Emirates,,1.0,",,0:00",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
9,10,8.0,+1:29,65,KNOX James,23,Deceuninck - Quick Step,,,0:050:05,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
10,11,9.0,+1:45,133,DE PLUS Laurens,23,Team Jumbo-Visma,,,",,0:05",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
11,12,37.0,+8:47,33,CARUSO Damiano,31,Bahrain Merida,,,0:120:12,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
12,13,12.0,+1:54,26,HIRT Jan,28,Astana Pro Team,,,",,0:12",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
13,14,10.0,+1:49,164,KWIATKOWSKI Michał,28,Team Sky,,,0:160:16,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
14,15,16.0,+2:22,71,VAN GARDEREN Tejay,30,EF Education First,,,",,0:16",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
15,16,24.0,+4:46,105,LAMBRECHT Bjorg,21,Lotto Soudal,,,0:250:25,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
16,17,25.0,+5:01,95,REICHENBACH Sébastien,29,Groupama - FDJ,,,",,0:25",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
17,18,20.0,+3:32,115,GRMAY Tsgabu,27,Mitchelton-Scott,,,",,0:25",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
18,19,15.0,+2:19,197,ULISSI Diego,29,UAE-Team Emirates,,,0:270:27,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
19,20,11.0,+1:52,41,FORMOLO Davide,26,BORA - hansgrohe,,,",,0:27",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
20,21,36.0,+7:05,31,NIBALI Vincenzo,34,Bahrain Merida,,,0:300:30,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
21,22,19.0,+2:53,12,BOUCHARD Geoffrey,26,AG2R La Mondiale,,,0:320:32,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
22,23,18.0,+2:47,114,BOOKWALTER Brent,35,Mitchelton-Scott,,,0:350:35,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
23,24,14.0,+2:04,53,DE LA PARTE Víctor,32,CCC Team,,,0:420:42,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
24,25,39.0,+9:46,21,IZAGIRRE Gorka,31,Astana Pro Team,,,",,0:42",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
25,26,21.0,+3:55,15,GALLOPIN Tony,30,AG2R La Mondiale,,,0:580:58,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
26,27,42.0,+10:16,57,ROSSKOPF Joey,29,CCC Team,,,",,0:58",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
27,28,22.0,+4:26,27,VILLELLA Davide,27,Astana Pro Team,,,",,0:58",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
28,29,33.0,+6:25,85,NYCH Artem,23,Gazprom-RusVelo,,,1:331:33,UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
29,30,35.0,+6:32,54,DE MARCHI Alessandro,32,CCC Team,,,",,1:33",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
30,31,53.0,+17:35,181,PORTE Richie,34,Trek - Segafredo,,,",,1:33",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
31,32,43.0,+11:03,145,NAVARRO Daniel,35,Team Katusha Alpecin,,,",,1:33",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
32,33,41.0,+10:15,147,ZAKARIN Ilnur,29,Team Katusha Alpecin,,,",,1:33",UAE_Tour,6,01 March 2019,42.25 km/h,162,180 km,25
