,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,131,ROGLIČ Primož,29,Team Jumbo-Visma,300.0,200,26:27:29,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
1,2,2,-,1,VALVERDE Alejandro,38,Movistar Team,250.0,150,0:310:31,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
2,3,3,-,94,GAUDU David,22,Groupama - FDJ,215.0,120,0:440:44,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
3,4,4,-,44,BUCHMANN Emanuel,26,BORA - hansgrohe,175.0,100,0:560:56,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
4,5,5,-,175,KELDERMAN Wilco,27,Team Sunweb,120.0,90,1:041:04,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
5,6,6,-,171,DUMOULIN Tom,28,Team Sunweb,115.0,80,1:081:08,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
6,7,7,-,195,MARTIN Dan,32,UAE-Team Emirates,95.0,70,1:111:11,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
7,8,8,-,65,KNOX James,23,Deceuninck - Quick Step,75.0,60,1:291:29,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
8,9,9,-,133,DE PLUS Laurens,23,Team Jumbo-Visma,60.0,50,1:451:45,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
9,10,10,-,164,KWIATKOWSKI Michał,28,Team Sky,50.0,40,1:491:49,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
10,11,11,-,41,FORMOLO Davide,26,BORA - hansgrohe,40.0,36,1:521:52,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
11,12,12,-,26,HIRT Jan,28,Astana Pro Team,35.0,32,1:541:54,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
12,13,13,-,47,SCHACHMANN Maximilian,25,BORA - hansgrohe,30.0,28,1:561:56,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
13,14,14,-,53,DE LA PARTE Víctor,32,CCC Team,25.0,24,2:042:04,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
14,15,15,-,197,ULISSI Diego,29,UAE-Team Emirates,20.0,20,2:192:19,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
15,16,16,-,71,VAN GARDEREN Tejay,30,EF Education First,20.0,16,2:222:22,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
16,17,17,-,193,COSTA Rui,32,UAE-Team Emirates,20.0,14,2:302:30,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
17,18,18,-,114,BOOKWALTER Brent,35,Mitchelton-Scott,20.0,12,2:472:47,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
18,19,19,-,12,BOUCHARD Geoffrey,26,AG2R La Mondiale,20.0,10,2:532:53,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
19,20,20,-,115,GRMAY Tsgabu,27,Mitchelton-Scott,20.0,9,3:323:32,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
20,21,21,-,15,GALLOPIN Tony,30,AG2R La Mondiale,12.0,8,3:553:55,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
21,22,22,-,27,VILLELLA Davide,27,Astana Pro Team,12.0,7,4:264:26,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
22,23,23,-,167,SIVAKOV Pavel,21,Team Sky,12.0,6,4:384:38,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
23,24,24,-,105,LAMBRECHT Bjorg,21,Lotto Soudal,12.0,5,4:464:46,..,UAE_Tour,GC,02 March 2019,-,0,0 km,25
