,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,173,DEGENKOLB John,24,Team Argos - Shimano,80.0,225.0,5:45:15,Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
1,2,11,GREIPEL André,31,Lotto Belisol Team,60.0,150.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
2,3,52,KRISTOFF Alexander,26,Team Katusha,50.0,110.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
3,4,46,ROJAS José Joaquín,28,Movistar Team,40.0,90.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
4,5,128,VIVIANI Elia,24,Cannondale Pro Cycling Team,30.0,80.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
5,6,186,VAN POPPEL Boy,25,Vacansoleil - DCM,22.0,70.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
6,7,82,MAES Nikolas,27,Omega Pharma - Quick-Step,14.0,60.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
7,8,113,HUSHOVD Thor,35,BMC Racing Team,10.0,50.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
8,9,77,BRESCHEL Matti,28,Team Saxo - Tinkoff,6.0,46.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
9,10,1,DÉMARE Arnaud,21,FDJ.fr,2.0,42.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
10,11,48,VENTOSO Francisco José,31,Movistar Team,,38.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
11,12,134,BELLETTI Manuel,27,AG2R La Mondiale,,34.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
12,13,21,NIZZOLO Giacomo,24,RadioShack - Leopard,,30.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
13,14,93,KREDER Raymond,23,Garmin Sharp,,26.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
14,15,55,PORSEV Alexander,27,Team Katusha,,22.0,",,0:00",Vattenfall_Cyclassics,0,25 August 2013,42.734 km/h,0,245.9 km,33
