,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,ROJAS José Joaquín,25,Movistar Team,6.0,50.0,4:22:19,Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
1,2,,,0,CARDOSO Manuel Antonio Leal,27,RadioShack,4.0,30.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
2,3,,,0,DUMOULIN Samuel,30,"Cofidis, le Crédit en Ligne",2.0,18.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
3,4,,,0,MARTIN Dan,24,Team Garmin - Cervélo,1.0,13.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
4,5,,,0,MILÁN Diego,25,Caja Rural,1.0,10.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
5,6,,,0,PIETROPOLLI Daniele,30,Lampre - ISD,,7.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
6,7,,,0,PÉREZ Rubén,29,Euskaltel - Euskadi,,4.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
7,8,,,0,DEHAES Kenny,26,Omega Pharma-Lotto,,3.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
8,9,,,0,CUSIN Rémi,25,"Cofidis, le Crédit en Ligne",,2.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
9,10,,,0,GOŁAŚ Michał,26,Vacansoleil - DCM,,1.0,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
10,11,,,0,JANIACZYK Błażej,28,CCC - Polsat - Polkowice,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
11,12,,,0,HORNER Chris,39,RadioShack,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
12,13,,,0,ROCHE Nicolas,26,AG2R La Mondiale,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
13,14,,,0,PASAMONTES Luis,31,Movistar Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
14,15,,,0,VELITS Martin,26,HTC - High Road,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
15,16,,,0,KADRI Blel,24,AG2R La Mondiale,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
16,17,,,0,KREDER Michel,23,Team Garmin - Cervélo,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
17,18,,,0,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
18,19,,,0,MENDES José,25,CCC - Polsat - Polkowice,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
19,20,,,0,VERMOTE Julien,21,Quickstep Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
20,21,,,0,BARREDO Carlos,29,Rabobank Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
21,21,,,0,SCARPONI Michele,31,Lampre - ISD,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
22,22,,,0,LEIPHEIMER Levi,37,RadioShack,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
23,23,,,0,SMUKULIS Gatis,23,HTC - High Road,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
24,24,,,0,ROHREGGER Thomas,28,Leopard Trek,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
25,25,,,0,URÁN Rigoberto,24,Sky Procycling,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
26,26,,,0,EVANS Cadel,34,BMC Racing Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
27,27,,,0,BOOKWALTER Brent,27,BMC Racing Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
28,28,,,0,MOLLEMA Bauke,24,Rabobank Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
29,29,,,0,DE MAAR Marc,27,Quickstep Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
30,30,,,0,KANGERT Tanel,24,Pro Team Astana,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
31,31,,,0,WEENING Pieter,29,Rabobank Cycling Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
32,32,,,0,BRAJKOVIČ Janez,27,RadioShack,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
33,33,,,0,ZUBELDIA Haimar,33,RadioShack,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
34,34,,,0,KOZONTCHUK Dmitry,26,Geox-TMC Transformers,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
35,35,,,0,TONDO Xavier,32,Movistar Team,,,",,0:00",Volta Ciclista a Catalunya,6,26 March 2011,44.603 km/h,0,195 km,22
