,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,69.0,+36:13,23,TSATEVICH Alexey,26,Team Katusha,50.0,50.0,3:13:33,Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
1,2,44.0,+16:52,137,ROGLIČ Primož,26,Team LottoNL-Jumbo,20.0,30.0,",,0:00",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
2,3,16.0,+1:52,163,PANTANO Jarlinson,27,IAM Cycling,8.0,18.0,0:140:14,Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
3,4,34.0,+9:25,35,POELS Wout,28,Team Sky,,13.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
4,5,84.0,+48:18,72,IMPEY Daryl,31,Orica GreenEDGE,,10.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
5,6,10.0,+1:16,151,URÁN Rigoberto,29,Cannondale Pro Cycling Team,,7.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
6,7,41.0,+13:31,195,MOLARD Rudy,26,"Cofidis, Solutions Crédits",,4.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
7,8,6.0,+0:31,102,BARDET Romain,25,AG2R La Mondiale,,3.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
8,9,35.0,+9:45,231,GASPAROTTO Enrico,34,Wanty - Groupe Gobert,,2.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
9,10,93.0,+52:54,183,BARBERO Carlos,24,Caja Rural - Seguros RGA,,1.0,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
10,11,21.0,+2:23,174,KUDUS Merhawi,22,Team Dimension Data,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
11,12,19.0,+2:06,53,KANGERT Tanel,29,Astana Pro Team,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
12,13,15.0,+1:45,153,FORMOLO Davide,23,Cannondale Pro Cycling Team,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
13,14,3.0,+0:17,41,MARTIN Dan,29,Etixx - Quick Step,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
14,15,89.0,+51:35,84,ARMÉE Sander,30,Lotto Soudal,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
15,16,18.0,+1:56,158,WOODS Michael,29,Cannondale Pro Cycling Team,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
16,17,71.0,+38:35,201,REBELLIN Davide,44,CCC Sprandi Polkowice,,,",,0:14",Volta_Ciclista_a_Catalunya,7,27 March 2016,42.28 km/h,48,136.4 km,12
