,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,1,VALVERDE Alejandro,37,Movistar Team,400.0,250.0,28:25:07,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
1,2,3,▲1,2,QUINTANA Nairo,28,Movistar Team,320.0,190.0,0:290:29,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
2,3,4,▲1,82,LATOUR Pierre,24,AG2R La Mondiale,260.0,160.0,0:470:47,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
3,4,5,▲1,61,YATES Simon,25,Mitchelton-Scott,220.0,140.0,",,0:47",..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
4,5,6,▲1,6,SOLER Marc,24,Movistar Team,180.0,120.0,1:101:10,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
5,6,7,▲1,152,BENNETT George,27,Team LottoNL-Jumbo,140.0,110.0,1:231:23,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
6,7,9,▲2,93,MARTÍNEZ Daniel Felipe,21,Team EF Education First-Drapac p/b Cannondale,120.0,100.0,1:291:29,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
7,8,11,▲3,151,KRUIJSWIJK Steven,30,Team LottoNL-Jumbo,100.0,90.0,1:311:31,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
8,9,10,▲1,141,HANSEN Jesper,27,Astana Pro Team,80.0,80.0,",,1:31",..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
9,10,14,▲4,161,PINOT Thibaut,27,Groupama - FDJ,68.0,70.0,1:341:34,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
10,11,15,▲4,175,O'CONNOR Ben,22,Team Dimension Data,56.0,60.0,1:351:35,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
11,12,17,▲5,163,GAUDU David,21,Groupama - FDJ,48.0,55.0,1:451:45,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
12,13,8,▼5,95,CARTHY Hugh,23,Team EF Education First-Drapac p/b Cannondale,40.0,50.0,2:182:18,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
13,14,16,▲2,81,FRANK Mathias,31,AG2R La Mondiale,32.0,45.0,2:302:30,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
14,15,20,▲5,241,BARGUIL Warren,26,Team Fortuneo - Samsic,28.0,40.0,2:402:40,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
15,16,12,▼4,221,HERMANS Ben,31,Israel Cycling Academy,24.0,36.0,2:542:54,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
16,17,13,▼4,31,VAN GARDEREN Tejay,29,BMC Racing Team,24.0,32.0,2:562:56,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
17,18,19,▲1,41,VERVAEKE Louis,24,Team Sunweb,24.0,28.0,3:313:31,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
18,19,21,▲2,67,VERONA Carlos,25,Mitchelton-Scott,24.0,24.0,3:323:32,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
19,20,28,▲8,131,MOHORIČ Matej,23,Bahrain Merida Pro Cycling Team,24.0,20.0,3:433:43,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
20,21,27,▲6,84,CHEREL Mikaël,32,AG2R La Mondiale,16.0,18.0,3:593:59,..,Volta_Ciclista_a_Catalunya,GC,25 March 2018,-,0,0 km,31
