,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,CONTADOR Alberto,28,Saxo Bank - Sungard,,,26:50:47 26:50:47,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
1,1,0,SCARPONI Michele,31,Lampre - ISD,100.0,250.0,29:25:05,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
2,2,0,MARTIN Dan,24,Team Garmin - Cervélo,80.0,190.0,0:120:12,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
3,3,0,HORNER Chris,39,RadioShack,70.0,160.0,",,0:12",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
4,4,0,URÁN Rigoberto,24,Sky Procycling,60.0,140.0,0:150:15,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
5,5,0,TONDO Xavier,32,Movistar Team,50.0,120.0,",,0:15",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
6,6,0,BASSO Ivan,33,Liquigas - Cannondale,40.0,110.0,",,0:15",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
7,7,0,EVANS Cadel,34,BMC Racing Team,30.0,100.0,0:270:27,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
8,8,0,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,20.0,90.0,0:490:49,..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
9,9,0,MOLLEMA Bauke,24,Rabobank Cycling Team,10.0,80.0,",,0:49",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
10,10,0,KADRI Blel,24,AG2R La Mondiale,4.0,70.0,",,0:49",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
11,11,0,DE MAAR Marc,27,Quickstep Cycling Team,,60.0,",,0:49",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
12,12,0,TEN DAM Laurens,30,Rabobank Cycling Team,,55.0,",,0:49",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
13,13,0,WEENING Pieter,29,Rabobank Cycling Team,,50.0,",,0:49",..,Volta_Ciclista_a_Catalunya,GC,27 March 2011,-,0,0 km,22
