,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,130.0,+8:54,124,IMPEY Daryl,28,Orica GreenEDGE,6.0,50.0,4:23:31,Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
1,2,1.0,+0:00,64,GAVAZZI Francesco,28,Astana Pro Team,4.0,30.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
2,3,2.0,+0:00,78,VICIOSO Ángel,35,Team Katusha,2.0,18.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
3,4,100.0,+3:28,146,RATTO Daniele,23,Cannondale Pro Cycling Team,1.0,13.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
4,5,87.0,+2:27,137,VANENDERT Dennis,24,Lotto Belisol Team,1.0,10.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
5,6,76.0,+1:01,177,KREDER Michel,25,Garmin Sharp,,7.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
6,7,18.0,+0:05,103,PIETROPOLLI Daniele,32,Lampre - Merida,,4.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
7,8,95.0,+2:52,192,GARCÍA Egoitz,27,"Cofidis, Solutions Crédits",,3.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
8,9,96.0,+2:52,145,PATERSKI Maciej,26,Cannondale Pro Cycling Team,,2.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
9,10,3.0,+0:00,38,VELITS Peter,28,Omega Pharma - Quick-Step,,1.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,2,02 April 2013,38.753 km/h,0,170.2 km,12
