,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,106.0,+55:58,0,MARTIN Tony,25,HTC - High Road,6.0,50.0,0:32:16,44.628,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
1,2,1.0,+0:00,0,KLÖDEN Andreas,35,RadioShack,4.0,30.0,0:090:09,44.422,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
2,3,45.0,+18:51,0,PINOTTI Marco,35,HTC - High Road,2.0,18.0,0:240:24,44.082,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
3,4,34.0,+12:25,0,FUGLSANG Jakob,26,Leopard Trek,1.0,13.0,0:290:29,43.968999999999994,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
4,5,97.0,+51:38,0,TALANSKY Andrew,22,Team Garmin - Cervélo,1.0,10.0,0:420:42,43.68,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
5,6,24.0,+6:41,0,MONFORT Maxime,28,Leopard Trek,,7.0,0:480:48,43.548,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
6,7,3.0,+0:47,0,GESINK Robert,24,Rabobank Cycling Team,,4.0,0:500:50,43.505,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
7,8,126.0,+1:13:17,0,PORTE Richie,26,Saxo Bank - Sungard,,3.0,0:530:53,43.43899999999999,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
8,9,2.0,+0:47,0,HORNER Chris,39,RadioShack,,2.0,0:550:55,43.395,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
9,10,10.0,+1:54,0,KIRYIENKA Vasil,29,Movistar Team,,1.0,1:001:00,43.287,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
10,11,4.0,+1:03,0,INTXAUSTI Beñat,25,Movistar Team,,,1:031:03,43.222,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
11,12,5.0,+1:03,0,TONDO Xavier,32,Movistar Team,,,1:061:06,43.157,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
12,13,6.0,+1:08,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,,,1:171:17,42.92100000000001,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
13,14,65.0,+28:52,0,VAN GARDEREN Tejay,22,HTC - High Road,,,1:191:19,42.878,Vuelta_Ciclista_al_Pais_Vasco,6,09 April 2011,44.628 km/h,0,24 km,12
