,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,0,SÁNCHEZ Samuel,34,Euskaltel - Euskadi,100.0,250.0,20:58:15,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
1,2,2,-,0,RODRÍGUEZ Joaquim,32,Team Katusha,80.0,190.0,0:120:12,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
2,3,3,-,0,MOLLEMA Bauke,25,Rabobank Cycling Team,70.0,160.0,0:420:42,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
3,4,4,-,0,CUNEGO Damiano,30,Lampre - ISD,60.0,140.0,0:470:47,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
4,5,5,-,0,MARTIN Tony,26,Omega Pharma - Quick-Step,50.0,120.0,0:540:54,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
5,6,6,-,0,NORDHAUG Lars Petter,27,Sky Procycling,40.0,110.0,1:031:03,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
6,7,7,-,0,PERAUD Jean-Christophe,34,AG2R La Mondiale,30.0,100.0,1:071:07,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
7,8,8,-,0,SCARPONI Michele,32,Lampre - ISD,20.0,90.0,1:191:19,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
8,9,9,-,0,HORNER Chris,40,RadioShack - Nissan,10.0,80.0,1:271:27,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
9,10,10,-,0,ŠPILAK Simon,25,Team Katusha,4.0,70.0,1:291:29,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
10,11,11,-,0,KIŠERLOVSKI Robert,25,Astana Pro Team,,60.0,1:311:31,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
11,12,12,-,0,VAN DEN BROECK Jurgen,29,Lotto Belisol Team,,55.0,1:361:36,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
12,13,13,-,0,HENAO Sergio,24,Sky Procycling,,50.0,1:391:39,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
13,14,14,-,0,KIRYIENKA Vasil,30,Movistar Team,,45.0,1:451:45,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
14,15,15,-,0,COSTA Rui,25,Movistar Team,,40.0,1:471:47,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
15,16,16,-,0,NAVARRO Daniel,28,Team Saxo Bank - Tinkoff Bank,,36.0,1:571:57,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
16,17,17,-,0,POELS Wout,24,Vacansoleil - DCM,,32.0,2:012:01,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
17,18,18,-,0,RIBLON Christophe,31,AG2R La Mondiale,,28.0,2:102:10,..,Vuelta_Ciclista_al_Pais_Vasco,GC,07 April 2012,39.32 km/h,0,0 km,12
