,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,KLÖDEN Andreas,35,RadioShack,100.0,250.0,22:12:11,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
1,2,0,HORNER Chris,39,RadioShack,80.0,190.0,0:470:47,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
2,3,0,GESINK Robert,24,Rabobank Cycling Team,70.0,160.0,",,0:47",..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
3,4,0,INTXAUSTI Beñat,25,Movistar Team,60.0,140.0,1:031:03,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
4,5,0,TONDO Xavier,32,Movistar Team,50.0,120.0,",,1:03",..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
5,6,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,40.0,110.0,1:081:08,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
6,7,0,LÓPEZ David,29,Movistar Team,30.0,100.0,1:281:28,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
7,8,0,VINOKOUROV Alexandre,37,Pro Team Astana,20.0,90.0,1:311:31,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
8,9,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,10.0,80.0,1:491:49,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
9,10,0,KIRYIENKA Vasil,29,Movistar Team,4.0,70.0,1:541:54,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
10,11,0,RODRÍGUEZ Joaquim,31,Team Katusha,,60.0,1:591:59,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
11,12,0,SCHLECK Andy,25,Leopard Trek,,55.0,2:022:02,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
12,13,0,VAN DEN BROECK Jurgen,28,Omega Pharma-Lotto,,50.0,3:123:12,..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
13,14,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,45.0,",,3:12",..,Vuelta_Ciclista_al_Pais_Vasco,GC,09 April 2011,-,0,0 km,12
