,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,45,+23:11,31,KESSIAKOFF Fredrik,32,Astana Pro Team,16.0,80.0,0:52:36,44.943000000000005,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
1,2,2,+0:01,201,CONTADOR Alberto,29,Team Saxo Bank - Tinkoff Bank,8.0,50.0,0:170:17,44.702,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
2,3,3,+0:15,181,FROOME Chris,27,Sky Procycling,4.0,35.0,0:390:39,44.394,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
3,4,4,+0:58,9,VALVERDE Alejandro,32,Movistar Team,2.0,25.0,1:081:08,43.995,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
4,5,15,+5:56,4,INTXAUSTI Beñat,26,Movistar Team,1.0,18.0,1:091:09,43.981,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
5,6,79,+44:29,185,PORTE Richie,27,Sky Procycling,,15.0,1:151:15,43.9,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
6,7,1,+0:00,101,RODRÍGUEZ Joaquim,33,Team Katusha,,12.0,1:161:16,43.886,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
7,8,108,+57:05,155,MEYER Cameron,24,Orica GreenEDGE,,10.0,1:171:17,43.873000000000005,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
8,9,8,+4:07,91,TALANSKY Andrew,23,Garmin Sharp,,8.0,1:241:24,43.778,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
9,10,159,+1:15:28,2,CASTROVIEJO Jonathan,25,Movistar Team,,6.0,1:341:34,43.643,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
10,11,85,+48:35,141,MARTIN Tony,27,Omega Pharma - Quick-Step,,5.0,1:391:39,43.576,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
11,12,5,+2:26,161,GESINK Robert,26,Rabobank Cycling Team,,4.0,1:421:42,43.536,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
12,13,68,+40:15,211,DE GENDT Thomas,25,Vacansoleil - DCM,,3.0,1:501:50,43.428999999999995,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
13,14,60,+37:18,41,GILBERT Philippe,30,BMC Racing Team,,2.0,1:571:57,43.336000000000006,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
14,15,6,+2:53,107,MORENO Daniel,30,Team Katusha,,1.0,2:022:02,43.27,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
15,16,44,+22:36,177,MACHADO Tiago,26,RadioShack - Nissan,,,2:042:04,43.244,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
16,17,22,+8:05,12,BOUET Maxime,25,AG2R La Mondiale,,,2:052:05,43.231,Vuelta_a_Espa_a,11,29 August 2012,44.943 km/h,58,39.4 km,17
