,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,174,DUMOULIN Tom,24,Team Giant - Alpecin,16.0,80.0,0:46:01,50.46,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
1,2,140,+3:05:15,203,BODNAR Maciej,30,Tinkoff - Saxo,8.0,50.0,1:041:04,49.317,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
2,3,6,+3:15,121,VALVERDE Alejandro,35,Movistar Team,4.0,35.0,1:081:08,49.247,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
3,4,82,+2:16:21,4,KIRYIENKA Vasil,34,Team Sky,2.0,25.0,1:311:31,48.85,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
4,5,41,+1:21:41,93,COPPEL Jérôme,29,IAM Cycling,1.0,18.0,1:321:32,48.833,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
5,6,5,+2:53,125,QUINTANA Nairo,25,Movistar Team,,15.0,1:331:33,48.816,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
6,7,15,+14:03,169,SICARD Romain,27,Team Europcar,,12.0,1:361:36,48.763999999999996,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
7,8,34,+59:51,107,OLIVEIRA Nelson,26,Lampre - Merida,,10.0,1:381:38,48.73,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
8,9,96,+2:30:47,132,CUMMINGS Steve,34,MTN - Qhubeka,,8.0,1:401:40,48.696000000000005,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
9,10,2,+0:03,21,ARU Fabio,25,Astana Pro Team,,6.0,1:531:53,48.476000000000006,Vuelta_a_Espa_a,17,09 September 2015,50.46 km/h,0,38.7 km,9
