,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,43.0,+1:52:11,101,PLAZA Rubén,35,Lampre - Merida,16.0,80.0,4:37:05,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
1,2,34.0,+1:15:59,45,GONÇALVES José,26,Caja Rural - Seguros RGA,8.0,50.0,1:071:07,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
2,3,75.0,+2:39:05,34,DE MARCHI Alessandro,29,BMC Racing Team,4.0,35.0,1:081:08,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
3,4,15.0,+17:06,169,SICARD Romain,27,Team Europcar,2.0,25.0,1:291:29,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
4,5,57.0,+2:17:57,36,MOINARD Amaël,33,BMC Racing Team,1.0,18.0,1:301:30,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
5,6,29.0,+1:02:28,79,VERONA Carlos,22,Etixx - Quick Step,,15.0,",,1:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
6,7,22.0,+44:50,3,HENAO Sergio,27,Team Sky,,12.0,",,1:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
7,8,16.0,+17:27,81,ELISSONDE Kenny,24,FDJ,,10.0,1:351:35,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
8,9,41.0,+1:46:59,17,MONTAGUTI Matteo,31,AG2R La Mondiale,,8.0,1:431:43,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
9,10,71.0,+2:36:29,158,MOSER Moreno,24,Team Cannondale - Garmin,,6.0,2:402:40,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
10,11,21.0,+44:44,107,OLIVEIRA Nelson,26,Lampre - Merida,,5.0,2:422:42,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
11,12,3.0,+1:29,201,MAJKA Rafał,26,Tinkoff - Saxo,,4.0,",,2:42",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
12,13,38.0,+1:31:44,99,WARBASSE Larry,25,IAM Cycling,,3.0,",,2:42",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
13,14,4.0,+2:02,125,QUINTANA Nairo,25,Movistar Team,,2.0,2:442:44,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
14,15,36.0,+1:25:08,191,BENNETT George,25,Team LottoNL-Jumbo,,1.0,",,2:44",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
15,16,12.0,+13:49,41,ARROYO David,35,Caja Rural - Seguros RGA,,,",,2:44",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
16,17,23.0,+45:19,219,ZUBELDIA Haimar,38,Trek Factory Racing,,,",,2:44",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
17,18,46.0,+1:53:07,153,DOMBROWSKI Joe,24,Team Cannondale - Garmin,,,",,2:44",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
18,19,53.0,+2:03:37,61,CANO Alex,32,Team Colombia,,,2:482:48,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
19,20,19.0,+35:58,129,VISCONTI Giovanni,32,Movistar Team,,,3:013:01,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
20,21,68.0,+2:31:33,206,MCCARTHY Jay,23,Tinkoff - Saxo,,,3:193:19,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
21,22,5.0,+3:30,141,CHAVES Esteban,25,Orica GreenEDGE,,,3:353:35,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
22,23,2.0,+1:17,181,RODRÍGUEZ Joaquim,36,Team Katusha,,,3:373:37,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
23,24,1.0,+0:00,21,ARU Fabio,25,Astana Pro Team,,,3:383:38,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
24,25,33.0,+1:15:05,26,SÁNCHEZ Luis León,31,Astana Pro Team,,,",,3:38",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
25,26,81.0,+2:45:05,119,VANENDERT Jelle,30,Lotto Soudal,,,3:433:43,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
26,27,25.0,+51:30,23,LANDA Mikel,25,Astana Pro Team,,,3:483:48,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
27,28,40.0,+1:38:06,122,AMADOR Andrey,29,Movistar Team,,,4:014:01,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
28,29,31.0,+1:06:47,184,LOSADA Alberto,33,Team Katusha,,,4:534:53,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
29,30,14.0,+16:54,113,DE CLERCQ Bart,29,Lotto Soudal,,,6:516:51,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
30,31,8.0,+7:26,6,NIEVE Mikel,31,Team Sky,,,",,6:51",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
31,32,13.0,+15:46,73,BRAMBILLA Gianluca,28,Etixx - Quick Step,,,7:287:28,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
32,33,11.0,+11:30,11,POZZOVIVO Domenico,32,AG2R La Mondiale,,,7:307:30,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
33,34,24.0,+48:27,214,SCHLECK Fränk,35,Trek Factory Racing,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
34,35,6.0,+3:46,174,DUMOULIN Tom,24,Team Giant - Alpecin,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
35,36,10.0,+10:46,133,MEINTJES Louis,23,MTN - Qhubeka,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
36,37,17.0,+17:30,168,JEANDESBOZ Fabrice,30,Team Europcar,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
37,38,7.0,+7:10,121,VALVERDE Alejandro,35,Movistar Team,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
38,39,18.0,+23:51,152,CARDOSO André,31,Team Cannondale - Garmin,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
39,40,9.0,+7:32,186,MORENO Daniel,34,Team Katusha,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
40,41,35.0,+1:16:40,208,POLJAŃSKI Paweł,25,Tinkoff - Saxo,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
41,42,150.0,+4:07:48,103,CONTI Valerio,22,Lampre - Merida,,,",,7:30",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
42,43,69.0,+2:31:59,29,ZEITS Andrey,28,Astana Pro Team,,,7:377:37,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
43,44,20.0,+43:27,25,ROSA Diego,26,Astana Pro Team,,,",,7:37",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
44,45,65.0,+2:30:27,162,ARASHIRO Yukiya,30,Team Europcar,,,7:497:49,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
45,46,30.0,+1:06:08,55,NAVARRO Daniel,32,"Cofidis, Solutions Crédits",,,8:028:02,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
46,47,26.0,+52:44,8,ROCHE Nicolas,31,Team Sky,,,8:338:33,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
47,48,83.0,+2:48:57,4,KIRYIENKA Vasil,34,Team Sky,,,",,8:33",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
48,49,55.0,+2:11:26,115,HANSEN Adam,34,Lotto Soudal,,,8:358:35,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
49,50,97.0,+3:09:51,43,BILBAO Pello,25,Caja Rural - Seguros RGA,,,12:2112:21,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
50,51,39.0,+1:33:17,189,VORGANOV Eduard,32,Team Katusha,,,13:1813:18,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
51,52,44.0,+1:52:34,126,ROJAS José Joaquín,30,Movistar Team,,,",,13:18",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
52,53,92.0,+3:02:14,65,QUINTERO Carlos,29,Team Colombia,,,13:3213:32,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
53,54,127.0,+3:43:32,112,DE BUYST Jasper,21,Lotto Soudal,,,16:3316:33,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
54,55,126.0,+3:43:17,154,HOWES Alex,27,Team Cannondale - Garmin,,,17:5217:52,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
55,56,123.0,+3:41:39,139,VENTER Jaco,28,MTN - Qhubeka,,,17:5417:54,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
56,57,60.0,+2:19:58,63,DUQUE Leonardo Fabio,35,Team Colombia,,,18:3118:31,Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
57,58,100.0,+3:14:03,123,ERVITI Imanol,31,Movistar Team,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
58,59,84.0,+2:51:17,147,IMPEY Daryl,30,Orica GreenEDGE,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
59,60,95.0,+3:09:04,194,ROOSEN Timo,22,Team LottoNL-Jumbo,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
60,61,51.0,+1:59:48,13,CHEREL Mikaël,29,AG2R La Mondiale,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
61,62,37.0,+1:25:16,185,MACHADO Tiago,29,Team Katusha,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
62,63,27.0,+54:37,116,MONFORT Maxime,32,Lotto Soudal,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
63,64,98.0,+3:11:48,193,LINDEMAN Bert-Jan,26,Team LottoNL-Jumbo,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
64,65,58.0,+2:18:30,22,CATALDO Dario,30,Astana Pro Team,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
65,66,28.0,+59:53,72,BOUET Maxime,28,Etixx - Quick Step,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
66,67,32.0,+1:11:56,68,TORRES Rodolfo Andrés,28,Team Colombia,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
67,68,42.0,+1:47:30,172,CRADDOCK Lawson,23,Team Giant - Alpecin,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
68,69,80.0,+2:42:57,124,MORENO Javier,31,Movistar Team,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
69,70,45.0,+1:53:04,46,MADRAZO Ángel,27,Caja Rural - Seguros RGA,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
70,71,52.0,+2:00:16,205,HANSEN Jesper,24,Tinkoff - Saxo,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
71,72,70.0,+2:36:19,2,BOSWELL Ian,24,Team Sky,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
72,73,142.0,+3:58:43,127,SUTHERLAND Rory,33,Movistar Team,,,",,18:31",Vuelta_a_Espa_a,20,12 September 2015,38.07 km/h,0,175.8 km,9
