,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,75.0,+25:11,66,DE MARCHI Alessandro,28,Cannondale,16.0,80.0,4:01:52,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
1,2,37.0,+7:13,101,HESJEDAL Ryder,33,Garmin Sharp,8.0,50.0,1:341:34,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
2,3,68.0,+23:11,11,DUPONT Hubert,33,AG2R La Mondiale,4.0,35.0,1:351:35,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
3,4,109.0,+41:37,129,TSCHOPP Johann,32,IAM Cycling,2.0,25.0,",,1:35",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
4,5,62.0,+20:31,44,GILBERT Philippe,32,BMC Racing Team,1.0,18.0,2:172:17,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
5,6,17.0,+1:34,102,MARTIN Dan,28,Garmin Sharp,,15.0,",,2:17",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
6,7,4.0,+0:20,191,FROOME Chris,29,Team Sky,,12.0,2:182:18,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
7,8,56.0,+17:15,172,BRAMBILLA Gianluca,27,Omega Pharma - Quick-Step,,10.0,2:202:20,Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
8,9,1.0,+0:00,151,VALVERDE Alejandro,34,Movistar Team,,8.0,",,2:20",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
9,10,3.0,+0:18,201,CONTADOR Alberto,31,Tinkoff - Saxo,,6.0,",,2:20",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
10,11,7.0,+0:55,34,GESINK Robert,28,Belkin-Pro Cycling Team,,5.0,",,2:20",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
11,12,2.0,+0:15,159,QUINTANA Nairo,24,Movistar Team,,4.0,",,2:20",Vuelta_a_Espa_a,7,29 August 2014,41.92 km/h,0,169 km,6
