,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,184,HORNER Chris,41,RadioShack - Leopard,170.0,400,84:36:04,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
1,2,2,-,31,NIBALI Vincenzo,28,Astana Pro Team,130.0,290,0:370:37,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
2,3,3,-,1,VALVERDE Alejandro,33,Movistar Team,100.0,240,1:361:36,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
3,4,4,-,121,RODRÍGUEZ Joaquim,34,Team Katusha,90.0,220,3:223:22,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
4,5,5,-,205,ROCHE Nicolas,29,Team Saxo - Tinkoff,80.0,200,7:117:11,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
5,6,6,-,11,POZZOVIVO Domenico,30,AG2R La Mondiale,70.0,190,8:008:00,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
6,7,7,-,101,PINOT Thibaut,23,FDJ.fr,60.0,180,8:418:41,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
7,8,8,-,91,SÁNCHEZ Samuel,35,Euskaltel - Euskadi,52.0,170,9:519:51,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
8,9,9,-,151,KÖNIG Leopold,25,Team NetApp – Endura,44.0,160,10:1110:11,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
9,10,10,-,127,MORENO Daniel,32,Team Katusha,38.0,150,13:1113:11,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
10,11,11,-,36,KANGERT Tanel,26,Astana Pro Team,32.0,140,14:0514:05,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
11,12,12,-,5,HERRADA José,27,Movistar Team,26.0,130,16:4816:48,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
12,13,13,-,61,ARROYO David,33,Caja Rural - Seguros RGA,22.0,120,17:3417:34,..,Vuelta_a_Espa_a,GC,15 September 2013,39.598 km/h,0,0 km,9
