,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,186,MATTHEWS Michael,26,Team Sunweb,50.0,50.0,3:45:07,Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
1,2,2.0,+0:00,56,MCCARTHY Jay,24,BORA - hansgrohe,20.0,30.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
2,3,3.0,+0:00,124,GERRANS Simon,36,ORICA-Scott,8.0,18.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
3,4,4.0,+0:00,157,RESTREPO Jhonatan,22,Team Katusha Alpecin,,13.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
4,5,5.0,+0:00,102,DE BIE Sean,25,Lotto Soudal,,10.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
5,6,6.0,+0:00,138,RICHEZE Maximiliano,34,Quick-Step Floors,,7.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
6,7,7.0,+0:00,71,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,,4.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
7,8,8.0,+0:00,95,ROUX Anthony,29,FDJ,,3.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
8,9,9.0,+0:00,198,SWIFT Ben,29,UAE Team Emirates,,2.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
9,10,10.0,+0:00,57,MÜHLBERGER Gregor,22,BORA - hansgrohe,,1.0,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
10,11,11.0,+0:00,58,SCHWARZMANN Michael,26,BORA - hansgrohe,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
11,12,12.0,+0:00,161,ROGLIČ Primož,27,Team LottoNL-Jumbo,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
12,13,13.0,+0:00,113,FERNÁNDEZ Rubén,26,Movistar Team,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
13,14,14.0,+0:00,163,BENNETT George,26,Team LottoNL-Jumbo,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
14,15,15.0,+0:00,55,KONRAD Patrick,25,BORA - hansgrohe,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
15,16,16.0,+0:00,111,VALVERDE Alejandro,36,Movistar Team,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
16,17,17.0,+0:00,32,ARASHIRO Yukiya,32,Bahrain Merida Pro Cycling Team,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
17,18,18.0,+0:00,194,MOHORIČ Matej,22,UAE Team Emirates,,,",,0:00",Vuelta_al_Pais_Vasco,1,03 April 2017,40.86 km/h,26,153.3 km,24
