,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,111,VALVERDE Alejandro,36,Movistar Team,400.0,250.0,20:41:25,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
1,2,6,▲4,1,CONTADOR Alberto,34,Trek - Segafredo,320.0,190.0,0:170:17,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
2,3,7,▲4,31,IZAGIRRE Ion,28,Bahrain Merida Pro Cycling Team,260.0,160.0,0:210:21,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
3,4,9,▲5,134,DE LA CRUZ David,27,Quick-Step Floors,220.0,140.0,0:440:44,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
4,5,20,▲15,161,ROGLIČ Primož,27,Team LottoNL-Jumbo,180.0,120.0,0:590:59,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
5,6,4,▼2,193,MEINTJES Louis,25,UAE Team Emirates,140.0,110.0,1:191:19,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
6,7,10,▲3,55,KONRAD Patrick,25,BORA - hansgrohe,120.0,100.0,1:401:40,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
7,8,8,-,171,HENAO Sergio,29,Team Sky,100.0,90.0,1:511:51,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
8,9,2,▼7,71,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,80.0,80.0,1:561:56,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
9,10,14,▲4,151,ŠPILAK Simon,30,Team Katusha Alpecin,68.0,70.0,2:012:01,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
10,11,15,▲4,163,BENNETT George,27,Team LottoNL-Jumbo,56.0,60.0,2:122:12,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
11,12,5,▼7,74,WOODS Michael,30,Cannondale-Drapac Pro Cycling Team,48.0,55.0,2:162:16,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
12,13,13,-,53,BUCHMANN Emanuel,24,BORA - hansgrohe,40.0,50.0,2:222:22,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
13,14,19,▲5,136,MAS Enric,22,Quick-Step Floors,32.0,45.0,2:232:23,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
14,15,3,▼12,11,BARDET Romain,26,AG2R La Mondiale,28.0,40.0,2:242:24,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
15,16,17,▲1,181,BARGUIL Warren,25,Team Sunweb,24.0,36.0,2:302:30,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
16,17,18,▲1,85,EDET Nicolas,29,"Cofidis, Solutions Crédits",24.0,32.0,2:342:34,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
17,18,11,▼7,18,VUILLERMOZ Alexis,28,AG2R La Mondiale,24.0,28.0,2:502:50,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
18,19,22,▲3,187,OOMEN Sam,21,Team Sunweb,24.0,24.0,2:552:55,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
19,20,24,▲4,38,VISCONTI Giovanni,34,Bahrain Merida Pro Cycling Team,24.0,20.0,3:113:11,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
20,21,16,▼5,23,CHERNETSKI Sergei,26,Astana Pro Team,16.0,18.0,3:213:21,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
21,22,26,▲4,121,YATES Simon,24,ORICA-Scott,16.0,16.0,3:243:24,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
22,23,29,▲6,191,ULISSI Diego,27,UAE Team Emirates,16.0,14.0,3:263:26,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
23,24,25,▲1,91,MOLARD Rudy,27,FDJ,16.0,12.0,3:483:48,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
24,25,21,▼990,67,ROSÓN Jaime,24,Caja Rural - Seguros RGA,,,3:503:50,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
25,26,28,▲2,113,FERNÁNDEZ Rubén,26,Movistar Team,16.0,9.0,4:234:23,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
26,27,31,▲4,35,GRMAY Tsgabu,25,Bahrain Merida Pro Cycling Team,16.0,8.0,4:524:52,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
27,28,23,▼5,148,PAUWELS Serge,33,Team Dimension Data,16.0,7.0,4:574:57,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
28,29,30,▲1,178,NIEVE Mikel,32,Team Sky,16.0,6.0,5:115:11,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
29,30,27,▼3,177,KWIATKOWSKI Michał,26,Team Sky,16.0,5.0,5:295:29,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
30,31,32,▲1,175,HENAO Sebastián,23,Team Sky,8.0,5.0,6:296:29,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
31,32,34,▲2,21,SÁNCHEZ Luis León,33,Astana Pro Team,8.0,5.0,6:386:38,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
32,33,35,▲2,126,KREUZIGER Roman,30,ORICA-Scott,8.0,5.0,7:417:41,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
33,34,33,▼1,13,CHEREL Mikaël,31,AG2R La Mondiale,8.0,5.0,8:098:09,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
34,35,37,▲2,45,ROCHE Nicolas,32,BMC Racing Team,8.0,5.0,8:518:51,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
35,36,38,▲2,106,VAN DER SANDE Tosh,26,Lotto Soudal,8.0,5.0,9:499:49,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
36,37,43,▲6,112,DE LA PARTE Víctor,30,Movistar Team,8.0,5.0,10:1810:18,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
37,38,39,▲1,145,KUDUS Merhawi,23,Team Dimension Data,8.0,5.0,10:2810:28,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
38,39,48,▲9,186,MATTHEWS Michael,26,Team Sunweb,8.0,5.0,10:5810:58,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
39,40,45,▲5,185,PREIDLER Georg,26,Team Sunweb,8.0,5.0,11:0111:01,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
40,41,41,-,62,ARANBURU Alex,21,Caja Rural - Seguros RGA,8.0,5.0,11:2111:21,..,Vuelta_al_Pais_Vasco,GC,08 April 2017,-,0,0 km,24
