,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
230247,230301.0,DNF,1515.0,188,36.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,900.9261356029336,350.0,267.3822067751187,2016-01-24
141173,141191.0,30,687.0,92,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1220.4321966147022,350.0,267.3822067751187,2016-01-24
139785,139803.0,93,680.0,118,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
137163,137181.0,17,664.0,74,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
21005,21009.0,36,93.0,56,23.0,16.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1472.8794297140714,350.0,223.2269653039427,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
130830,130848.0,DNF,625.0,68,24.0,70.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2069.5319760045013,350.0,223.2269653039427,1500.0,1939.3208338911822,350.0,267.3822067751187,2016-01-24
128250,128268.0,119,613.0,84,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
230132,230186.0,100,1514.0,188,23.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,900.9261356029336,350.0,267.3822067751187,2016-01-24
142759,142777.0,3,697.0,7,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
123144,123162.0,103,589.0,1,25.0,50.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1906.8085542889296,350.0,223.2269653039427,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
120307,120325.0,171,580.0,105,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
118402,118420.0,33,571.0,26,35.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2258.8268949029507,350.0,267.3822067751187,2016-01-24
117827,117845.0,8,570.0,26,31.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2258.8268949029507,350.0,267.3822067751187,2016-01-24
116027,116045.0,53,561.0,58,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2099.0738643970662,350.0,267.3822067751187,2016-01-24
111068,111086.0,136,535.0,6,24.0,10.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1310.1560079984995,350.0,223.2269653039427,1500.0,980.8026508558758,350.0,267.3822067751187,2016-01-24
110811,110829.0,DNF,534.0,10,19.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1380.1852271205867,350.0,267.3822067751187,2016-01-24
108804,108822.0,115,527.0,42,28.0,55.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1961.0496948607868,350.0,223.2269653039427,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
121954,121972.0,29,584.0,105,30.0,190.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2503.46110057936,350.0,223.2269653039427,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
107160,107178.0,160,523.0,26,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2258.8268949029507,350.0,267.3822067751187,2016-01-24
143780,143798.0,12,701.0,52,28.0,90.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2178.014257148216,350.0,223.2269653039427,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
148840,148864.0,170,764.0,58,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2099.0738643970662,350.0,267.3822067751187,2016-01-24
167603,167636.0,4,897.0,41,30.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
